source_name,source_type,category,url,priority,active
Men's Novelty Socks New Releases,new_release,new_release,https://www.amazon.com/gp/new-releases/fashion/9056998011/ref=zg_bs_tab_t_fashion_bsnr,1,yes
Women's Soccer Jerseys Best Sellers,best_seller,best_seller,https://www.amazon.com/gp/bestsellers/fashion/2371132011/ref=pd_zg_hrsr_fashion,1,yes
Women's Soccer Jerseys New Releases,new_release,new_release,https://www.amazon.com/gp/new-releases/fashion/2371132011/ref=zg_bs_tab_t_fashion_bsnr,1,yes
Men's Soccer Jerseys Best Sellers,best_seller,best_seller,https://www.amazon.com/gp/bestsellers/fashion/2420242011/ref=pd_zg_hrsr_fashion,1,yes
Men's Soccer Jerseys New Releases,new_release,new_release,https://www.amazon.com/gp/new-releases/fashion/2420242011/ref=zg_bs_tab_t_fashion_bsnr,1,yes
Men's Baseball Jerseys Best Sellers,best_seller,best_seller,https://www.amazon.com/gp/bestsellers/fashion/19574765011/ref=pd_zg_hrsr_fashion,1,yes
Men's Baseball Jerseys New Releases,new_release,new_release,https://www.amazon.com/gp/new-releases/fashion/19574765011/ref=zg_bs_tab_t_fashion_bsnr,1,yes
Outdoor Flags & Banners Best Sellers,best_seller,best_seller,https://www.amazon.com/gp/bestsellers/lawn-garden/553792/ref=pd_zg_hrsr_lawn-garden,1,yes
Outdoor Flags & Banners New Releases,new_release,new_release,https://www.amazon.com/gp/new-releases/lawn-garden/553792/ref=zg_bs_tab_t_lawn-garden_bsnr,1,yes
Men's Novelty Button-Down Shirts Best Sellers,best_seller,best_seller,https://www.amazon.com/gp/bestsellers/fashion/9056990011/ref=pd_zg_hrsr_fashion,1,yes
Men's Novelty Button-Down Shirts New Releases,new_release,new_release,https://www.amazon.com/gp/new-releases/fashion/9056990011/ref=zg_bs_tab_t_fashion_bsnr,1,yes
Outdoor DoormatsBest Sellers,best_seller,best_seller,https://www.amazon.com/gp/bestsellers/lawn-garden/3742271/ref=pd_zg_hrsr_lawn-garden,1,yes
Outdoor DoormatsNew Releases,new_release,new_release,https://www.amazon.com/gp/new-releases/lawn-garden/3742271/ref=zg_bs_tab_t_lawn-garden_bsnr,1,yes
